incident_month,incident_week,incident_weekday,weekend,part_of_the_day,latitude,longitude,incident_place,incident_district,incident_division,max_temp,avg_temp,min_temp,weather_code,precip,humidity,visibility,cloudcover,heatindex,season,household,male_population,female_population,total_population,gender_ration,average_household_size,density_per_kmsq,literacy_rate,religious_institution,playground,park,police_station,cyber_cafe,school,college,cinema,crime
12,50,6,1,3,23.770437,90.432026,rampura,dhaka,dhaka,29.6,26.2,22.9,113,0.7,63.0,9.0,36.0,36.0,3,17123,37718,32238,69956,117.0,4.1,32131,70.8,42,6,3,5,24,36,24,7,robbery
5,19,5,1,0,23.712647,90.412178,uttarkhan,dhaka,dhaka,33.6,30.0,26.4,359,26.4,95.0,4.0,83.0,43.0,1,16095,37660,30326,67986,124.0,4.2,26050,67.2,29,7,1,2,11,21,16,7,murder
4,16,6,1,0,23.913614,90.332756,ashulia,dhaka,dhaka,37.5,33.4,29.4,386,32.2,83.0,6.0,86.0,46.0,1,19397,45648,39134,84782,117.0,4.4,37347,62.1,28,10,4,1,10,23,12,4,murder
5,20,5,1,3,23.745783,90.427219,uttarkhan,dhaka,dhaka,35.7,32.0,28.3,356,7.5,82.0,7.0,55.0,44.0,1,14371,35238,28814,64052,122.0,4.5,27342,61.4,36,6,5,6,19,38,12,0,assault
2,10,1,0,4,23.91256,90.205903,dhamrai,dhaka,dhaka,25.7,21.2,16.7,353,6.6,84.0,6.0,67.0,34.0,3,18250,39890,34091,73981,117.0,4.1,25581,65.7,24,7,3,2,14,39,13,7,kidnap
7,30,5,1,3,23.743652,90.417256,uttarkhan,dhaka,dhaka,36.3,32.4,28.5,176,14.1,82.0,7.0,77.0,45.0,2,33770,81424,68170,149594,119.0,4.4,59040,62.2,49,9,6,6,23,66,26,11,assault
9,38,6,1,4,23.731072,90.397005,uttarkhan,dhaka,dhaka,35.4,32.1,28.7,113,0.3,55.0,10.0,14.0,41.0,2,25606,64266,54839,119105,117.0,4.7,43338,67.4,63,12,2,3,20,63,32,9,robbery
9,38,5,1,4,23.732007,90.378735,dhanmondi,dhaka,dhaka,37.4,32.6,27.8,176,7.2,80.0,7.0,68.0,45.0,2,35075,82262,68525,150787,120.0,4.3,51184,84.8,95,20,9,4,51,109,61,21,robbery
5,22,5,1,2,23.905386,90.318657,ashulia,dhaka,dhaka,35.6,31.6,27.7,176,9.4,74.0,8.0,55.0,43.0,1,29127,72140,60166,132306,120.0,4.5,59557,73.3,57,7,11,3,34,71,32,13,assault
4,16,5,1,4,23.710777,90.393233,chawkbazar,dhaka,dhaka,36.3,32.7,29.1,386,43.3,83.0,4.0,93.0,45.0,1,19686,51868,41656,93524,125.0,4.8,44380,50.2,23,6,2,0,14,24,7,3,murder
7,29,6,1,1,23.893521,90.279063,dhaka university,dhaka,dhaka,33.4,29.7,26.1,353,11.9,75.0,8.0,73.0,41.0,2,22768,59551,47896,107447,124.0,4.7,51338,65.3,50,8,5,2,19,47,20,10,assault
4,18,5,1,1,23.766594,90.344729,mohammadpur,dhaka,dhaka,39.7,36.7,33.6,176,8.2,80.0,7.0,51.0,48.0,1,27531,60760,50191,110951,121.0,4.0,58651,63.1,55,9,3,5,25,55,27,10,assault
2,7,6,1,0,23.723987,90.403386,chawkbazar,dhaka,dhaka,32.3,30.2,28.1,353,10.5,82.0,7.0,42.0,40.0,3,13369,33553,28339,61892,118.0,4.6,22099,69.0,34,3,4,3,11,33,17,4,kidnap
8,31,5,1,4,23.762401,90.421751,rampura,dhaka,dhaka,37.9,34.3,30.6,353,7.7,75.0,7.0,79.0,45.0,2,17359,38633,32414,71047,119.0,4.1,35968,63.9,23,6,1,2,19,39,18,3,assault
3,10,1,0,2,23.88345,90.276482,dhaka university,dhaka,dhaka,37.4,33.5,29.5,116,0.5,63.0,10.0,17.0,44.0,1,24928,59408,50946,110354,117.0,4.4,47947,77.6,48,14,6,4,34,69,16,15,robbery
5,20,6,1,4,23.717464,90.495075,demra,dhaka,dhaka,31.5,26.6,21.6,308,15.9,90.0,5.0,89.0,41.0,1,18698,46831,38294,85125,122.0,4.6,33906,52.3,21,5,2,0,9,29,11,3,murder
5,21,5,1,3,23.86894,90.263009,dhaka university,dhaka,dhaka,38.1,35.3,32.5,176,10.1,81.0,9.0,46.0,46.0,1,18745,45443,39380,84823,115.0,4.5,29475,72.8,39,5,7,4,16,49,22,9,assault
5,21,0,0,4,23.91195,90.222773,dhamrai,dhaka,dhaka,36.8,32.2,27.5,116,0.8,69.0,10.0,37.0,44.0,1,36838,90345,73459,163804,123.0,4.4,62612,72.8,99,23,13,8,68,112,69,22,robbery
5,20,0,0,0,23.723671,90.502375,demra,dhaka,dhaka,38.4,36.4,34.4,113,0.4,62.0,8.0,39.0,45.0,1,16378,37309,31996,69305,117.0,4.2,28925,65.4,26,3,3,0,16,24,9,3,rape
6,23,6,1,0,23.726007,90.390495,buet,dhaka,dhaka,32.4,28.1,23.8,308,44.1,92.0,4.0,71.0,42.0,2,21122,54045,45754,99799,118.0,4.7,49635,61.7,38,3,4,1,17,40,14,7,murder
6,24,6,1,2,23.735178,90.391485,bangshal,dhaka,dhaka,30.9,27.1,23.3,353,16.4,89.0,6.0,70.0,40.0,2,16602,36711,30046,66757,122.0,4.0,43833,75.7,44,6,4,5,24,46,22,5,assault
4,18,6,1,4,23.711344,90.414133,chawkbazar,dhaka,dhaka,37.2,33.5,29.7,386,27.0,94.0,7.0,79.0,47.0,1,21265,54696,44364,99060,123.0,4.7,46105,53.8,23,7,2,0,21,30,9,5,murder
5,18,6,1,4,23.91786,90.307547,ashulia,dhaka,dhaka,36.8,34.7,32.7,308,22.5,83.0,4.0,77.0,45.0,1,12959,31984,26146,58130,122.0,4.5,26563,63.5,18,6,2,1,13,25,13,5,murder
10,42,0,0,1,23.732769,90.369312,hazaribagh,dhaka,dhaka,33.9,31.7,29.6,143,0.6,64.0,9.0,10.0,40.0,2,19989,44577,37522,82099,119.0,4.1,30114,60.8,32,9,3,2,9,32,19,5,rape
5,19,6,1,3,23.808799,90.402374,cantonment,dhaka,dhaka,36.0,33.9,31.8,176,10.0,87.0,7.0,47.0,45.0,1,26602,60964,49570,110534,123.0,4.2,58194,68.5,44,9,4,4,19,58,39,5,assault
6,26,4,0,0,23.78096,90.465355,badda,dhaka,dhaka,27.4,24.7,22.1,386,24.4,88.0,4.0,96.0,36.0,2,11856,29319,25428,54747,115.0,4.6,19066,62.3,29,6,2,0,9,18,10,4,bodyfound
12,50,5,1,1,23.71796,90.497227,demra,dhaka,dhaka,23.6,19.2,14.7,308,29.2,87.0,8.0,88.0,32.0,3,15136,39032,33470,72502,117.0,4.8,31704,58.1,19,7,2,1,12,26,10,8,bodyfound
5,22,6,1,2,23.788705,90.418615,gulshan,dhaka,dhaka,37.3,35.0,32.7,113,1.3,52.0,8.0,9.0,42.0,1,40202,88274,74647,162921,118.0,4.1,68781,65.3,69,14,8,4,40,96,32,13,robbery
5,18,6,1,4,23.722552,90.496209,demra,dhaka,dhaka,28.5,24.4,20.3,386,44.9,93.0,6.0,98.0,38.0,1,16262,40599,33857,74456,120.0,4.6,25132,66.4,27,5,3,1,6,24,16,8,murder
12,47,3,0,4,23.720629,90.396324,buet,dhaka,dhaka,29.1,26.8,24.4,176,14.6,88.0,9.0,77.0,38.0,3,21315,50624,42115,92739,120.0,4.4,54691,78.4,48,12,1,2,15,56,24,7,robbery
4,15,3,0,0,23.754166,90.371838,hazaribagh,dhaka,dhaka,29.7,25.5,21.2,386,41.7,91.0,7.0,75.0,39.0,1,19785,49053,39829,88882,123.0,4.5,30341,63.5,30,5,5,0,12,27,23,6,bodyfound
6,25,6,1,2,23.78348,90.351245,gabtoli,dhaka,dhaka,36.2,32.7,29.3,176,19.4,72.0,6.0,47.0,43.0,2,14472,33677,28148,61825,120.0,4.3,35073,80.0,30,13,5,4,25,36,25,4,assault
8,32,2,0,3,23.815431,90.423848,cantonment,dhaka,dhaka,31.5,26.7,21.8,176,13.4,72.0,7.0,69.0,39.0,2,35901,79146,68008,147154,116.0,4.1,64141,71.5,72,16,12,8,33,70,29,9,robbery
6,22,5,1,0,23.903843,90.219013,dhamrai,dhaka,dhaka,32.4,27.8,23.3,359,43.5,93.0,5.0,80.0,42.0,2,13630,32900,27724,60624,119.0,4.4,28862,63.3,22,4,1,1,9,24,11,4,murder
6,23,3,0,3,23.785732,90.419704,gulshan,dhaka,dhaka,29.9,27.3,24.8,176,4.4,72.0,7.0,62.0,37.0,2,21891,52710,45517,98227,116.0,4.5,50836,78.1,50,12,6,3,29,49,19,11,robbery
8,30,5,1,4,23.79346,90.3336,gabtoli,dhaka,dhaka,31.7,27.1,22.5,308,30.4,86.0,5.0,90.0,40.0,2,16628,38692,32386,71078,119.0,4.3,25319,52.8,17,10,4,3,16,22,14,9,murder
1,2,3,0,3,23.742925,90.380893,buet,dhaka,dhaka,30.5,28.0,25.5,176,5.9,77.0,8.0,47.0,38.0,3,39283,92067,76547,168614,120.0,4.3,58077,79.0,114,22,15,5,52,97,35,23,robbery
4,16,6,1,3,23.879064,90.262515,dhaka university,dhaka,dhaka,37.2,34.9,32.6,176,13.6,82.0,7.0,71.0,45.0,1,19410,42840,36114,78954,119.0,4.1,32479,70.5,25,5,6,3,18,44,21,4,assault
9,38,5,1,4,23.857132,90.259813,savar,dhaka,dhaka,30.7,27.2,23.6,353,5.2,80.0,7.0,46.0,39.0,2,11075,28121,23862,51983,118.0,4.7,31516,66.1,22,3,4,2,13,18,10,4,assault
6,22,1,0,4,23.853236,90.251801,savar,dhaka,dhaka,31.4,29.4,27.3,113,0.2,52.0,9.0,1.0,37.0,2,15460,41054,33076,74130,124.0,4.8,46535,72.6,20,0,0,2,20,27,19,5,robbery
7,27,6,1,1,23.780343,90.332925,gabtoli,dhaka,dhaka,30.7,27.5,24.3,176,18.1,70.0,9.0,66.0,38.0,2,42666,95079,76868,171947,124.0,4.0,59825,65.6,70,19,8,2,40,75,33,11,assault
6,26,5,1,3,23.794654,90.460277,badda,dhaka,dhaka,35.2,30.4,25.6,356,18.1,88.0,9.0,47.0,44.0,2,12727,30425,24960,55385,122.0,4.4,25861,77.8,19,6,3,2,9,26,14,6,assault
4,16,6,1,4,23.90864,90.23241,dhamrai,dhaka,dhaka,36.7,34.5,32.4,143,1.1,66.0,8.0,0.0,43.0,1,21313,55065,46224,101289,119.0,4.8,39436,69.2,40,10,5,2,26,46,23,9,rape
8,30,5,1,1,23.774745,90.407243,rampura,dhaka,dhaka,36.6,33.6,30.5,356,5.4,81.0,8.0,74.0,45.0,2,20612,52107,45096,97203,116.0,4.7,39377,66.5,54,5,7,4,20,54,17,10,assault
7,29,6,1,4,23.722118,90.397638,bangshal,dhaka,dhaka,30.8,28.4,26.1,308,39.9,90.0,6.0,76.0,40.0,2,14591,33326,28681,62007,116.0,4.2,40083,58.9,27,1,1,2,8,27,8,4,murder
5,20,6,1,0,23.912526,90.331584,ashulia,dhaka,dhaka,36.1,33.9,31.6,359,43.7,88.0,4.0,72.0,45.0,1,24994,55509,45472,100981,122.0,4.0,37515,51.5,27,8,1,0,13,29,12,3,murder
7,26,5,1,2,23.69928,90.395249,bangshal,dhaka,dhaka,36.0,32.4,28.8,176,19.8,86.0,8.0,64.0,45.0,2,18992,43273,34665,77938,125.0,4.1,29952,72.7,50,5,2,5,15,52,19,4,assault
8,31,6,1,1,23.720222,90.492676,demra,dhaka,dhaka,32.3,28.7,25.1,353,3.9,89.0,7.0,60.0,41.0,2,9147,20420,17062,37482,120.0,4.1,24201,72.6,16,1,3,3,9,25,6,0,assault
10,39,4,0,0,23.795543,90.446372,badda,dhaka,dhaka,30.0,25.5,20.9,359,39.6,86.0,5.0,96.0,39.0,2,6459,14005,12050,26055,116.0,4.0,13577,57.3,4,4,0,0,3,12,5,0,bodyfound
12,46,1,0,0,23.706054,90.390232,chawkbazar,dhaka,dhaka,23.0,19.6,16.1,359,38.0,95.0,6.0,72.0,32.0,3,7307,16083,13254,29337,121.0,4.0,15528,55.1,11,1,1,1,1,7,4,1,bodyfound
5,20,4,0,4,23.755777,90.345441,hazaribagh,dhaka,dhaka,34.4,29.9,25.5,143,1.6,60.0,8.0,25.0,40.0,1,7331,19260,15881,35141,121.0,4.8,19687,72.3,12,1,1,2,6,24,10,4,rape
7,29,5,1,3,23.917108,90.219761,dhamrai,dhaka,dhaka,30.6,27.3,24.0,353,6.3,71.0,6.0,47.0,38.0,2,13540,33500,27244,60744,123.0,4.5,25848,65.4,31,9,3,4,12,26,7,5,kidnap
9,34,3,0,2,23.823348,90.463225,badda,dhaka,dhaka,36.2,31.7,27.1,116,1.1,61.0,10.0,28.0,42.0,2,25202,58683,50984,109667,115.0,4.4,59454,67.2,62,20,6,7,34,53,26,14,robbery
12,50,0,0,2,23.719392,90.377756,buet,dhaka,dhaka,35.1,30.8,26.6,176,3.4,75.0,7.0,78.0,43.0,3,24800,56366,47889,104255,118.0,4.2,43394,73.4,48,21,5,6,32,73,36,5,robbery
2,10,5,1,4,23.725309,90.357224,hazaribagh,dhaka,dhaka,29.4,27.3,25.2,176,7.5,83.0,7.0,51.0,38.0,3,6728,17468,14171,31639,123.0,4.7,20735,62.3,11,7,1,5,8,14,6,2,kidnap
4,17,5,1,4,23.786817,90.423033,gulshan,dhaka,dhaka,35.2,32.2,29.2,308,29.6,80.0,4.0,82.0,43.0,1,11725,29997,24531,54528,122.0,4.7,31990,55.1,12,7,2,3,10,21,10,2,murder
5,21,6,1,2,23.761415,90.437486,rampura,dhaka,dhaka,31.4,27.4,23.3,353,5.3,76.0,8.0,67.0,39.0,1,32094,74846,61493,136339,122.0,4.2,57049,73.7,56,13,7,2,30,82,22,20,assault
12,46,5,1,2,23.868988,90.257947,savar,dhaka,dhaka,31.8,29.0,26.3,113,1.4,51.0,9.0,21.0,37.0,3,30735,73574,62584,136158,118.0,4.4,56290,78.2,119,28,7,8,32,112,42,21,robbery
10,39,3,0,4,23.882962,90.251245,dhaka university,dhaka,dhaka,33.1,30.7,28.4,113,1.2,62.0,8.0,37.0,39.0,2,27855,67399,55801,123200,121.0,4.4,53245,66.8,53,15,5,4,32,55,26,15,robbery
8,30,6,1,3,23.715962,90.414158,aftabnagar,dhaka,dhaka,32.8,28.3,23.8,113,2.0,63.0,9.0,33.0,39.0,2,40533,93565,80407,173972,116.0,4.3,61392,69.7,76,24,12,4,46,100,41,15,robbery
10,40,3,0,4,23.777856,90.333498,gabtoli,dhaka,dhaka,37.8,35.5,33.2,113,0.2,53.0,8.0,21.0,43.0,2,23758,58815,49138,107953,120.0,4.5,43913,69.8,60,13,8,6,24,64,31,12,robbery
2,7,3,0,3,23.722689,90.496421,demra,dhaka,dhaka,33.7,30.7,27.8,176,5.0,72.0,9.0,78.0,41.0,3,22620,57006,48415,105421,118.0,4.7,35487,65.0,48,10,6,5,22,54,34,7,kidnap
3,12,0,0,0,23.735726,90.384461,buet,dhaka,dhaka,37.5,32.5,27.6,143,0.4,50.0,10.0,30.0,43.0,1,12005,30097,24756,54853,122.0,4.6,36425,61.9,20,6,0,0,9,18,10,3,kidnap
6,23,6,1,4,23.782284,90.401471,gulshan,dhaka,dhaka,37.2,32.5,27.8,356,4.4,71.0,8.0,56.0,44.0,2,23309,52469,42021,94490,125.0,4.1,39265,62.2,34,7,7,3,25,37,17,4,assault
9,38,2,0,3,23.91436,90.221976,dhamrai,dhaka,dhaka,28.6,24.2,19.9,176,8.7,72.0,7.0,58.0,36.0,2,9658,24006,19565,43571,123.0,4.5,21890,59.3,11,5,4,4,9,15,4,2,kidnap
1,4,6,1,3,23.742822,90.350391,hazaribagh,dhaka,dhaka,33.0,29.8,26.6,176,7.1,71.0,8.0,55.0,40.0,3,19407,43819,38087,81906,115.0,4.2,27546,74.6,41,17,6,3,19,40,24,11,kidnap
5,18,6,1,0,23.719539,90.401495,bangshal,dhaka,dhaka,34.2,30.7,27.2,386,20.5,89.0,6.0,87.0,43.0,1,20031,47960,39102,87062,123.0,4.3,43457,59.7,34,8,2,3,20,34,18,6,murder
6,26,6,1,2,23.74145,90.376546,dhanmondi,dhaka,dhaka,29.4,25.0,20.5,116,0.0,51.0,9.0,39.0,35.0,2,31765,79845,64918,144763,123.0,4.6,66973,81.1,66,14,9,2,31,81,40,15,robbery
4,17,6,1,4,23.845654,90.26773,savar,dhaka,dhaka,37.4,33.0,28.7,356,10.9,77.0,8.0,47.0,45.0,1,33374,75078,63700,138778,118.0,4.2,49005,70.3,83,13,11,6,33,96,44,16,assault
11,44,3,0,2,23.763069,90.42677,rampura,dhaka,dhaka,30.4,26.3,22.2,113,1.3,68.0,8.0,8.0,37.0,2,22865,50703,43559,94262,116.0,4.1,46648,79.3,46,11,6,2,23,51,19,3,robbery
7,28,5,1,4,23.875818,90.253312,dhaka university,dhaka,dhaka,34.6,31.4,28.2,116,0.3,52.0,9.0,23.0,40.0,2,23207,54914,45591,100505,120.0,4.3,46742,66.3,69,20,9,8,26,50,42,11,robbery
3,13,1,0,0,23.775395,90.429798,rampura,dhaka,dhaka,33.1,29.7,26.4,116,2.0,64.0,9.0,1.0,39.0,1,11418,29020,23527,52547,123.0,4.6,31961,61.5,27,4,3,3,7,20,10,3,rape
4,18,5,1,3,23.925172,90.331539,ashulia,dhaka,dhaka,36.5,33.3,30.1,353,6.8,74.0,8.0,70.0,44.0,1,11500,30540,24517,55057,125.0,4.8,27828,71.7,33,12,5,6,13,29,12,8,assault
12,46,5,1,4,23.752034,90.354403,mohammadpur,dhaka,dhaka,28.9,25.8,22.7,176,8.4,79.0,8.0,61.0,37.0,3,20412,54104,43322,97426,125.0,4.8,37684,84.9,90,17,11,7,41,64,28,15,robbery
5,20,6,1,1,23.733459,90.413741,uttarkhan,dhaka,dhaka,37.0,33.4,29.7,356,12.4,70.0,8.0,76.0,44.0,1,15855,36615,30424,67039,120.0,4.2,24890,78.4,31,8,7,2,12,47,17,5,assault
2,10,1,0,0,23.796189,90.456383,badda,dhaka,dhaka,30.8,26.1,21.3,176,17.6,78.0,8.0,66.0,39.0,3,13994,31296,25428,56724,123.0,4.1,35186,69.4,21,6,4,3,17,32,13,6,kidnap
5,20,6,1,1,23.92653,90.216456,dhamrai,dhaka,dhaka,33.3,31.3,29.3,113,1.2,66.0,8.0,0.0,40.0,1,20540,50565,42469,93034,119.0,4.5,36834,73.8,36,8,1,1,22,43,17,6,rape
4,18,5,1,3,23.769525,90.42122,rampura,dhaka,dhaka,30.8,27.6,24.4,176,11.9,77.0,9.0,42.0,39.0,1,35265,89097,71592,160689,124.0,4.6,68257,68.0,72,16,11,4,32,88,40,16,robbery
8,30,5,1,3,23.735538,90.35719,hazaribagh,dhaka,dhaka,34.8,30.8,26.8,176,3.4,84.0,7.0,73.0,43.0,2,13100,31068,25732,56800,121.0,4.3,30355,84.8,29,13,4,4,21,42,21,10,robbery
9,37,5,1,0,23.824733,90.409416,cantonment,dhaka,dhaka,27.0,22.4,17.8,308,31.6,89.0,8.0,90.0,36.0,2,26422,60889,52416,113305,116.0,4.3,42271,69.4,33,11,6,0,20,43,21,11,murder
8,33,5,1,4,23.902074,90.213177,dhamrai,dhaka,dhaka,32.9,28.9,25.0,143,1.8,50.0,9.0,23.0,38.0,2,9069,20268,16410,36678,124.0,4.0,15053,71.1,22,4,3,3,6,14,9,2,kidnap
6,22,4,0,2,23.791299,90.436836,gulshan,dhaka,dhaka,30.5,25.6,20.6,176,13.8,80.0,9.0,47.0,39.0,2,29047,71368,59439,130807,120.0,4.5,44103,66.4,79,18,9,6,40,63,35,10,robbery
7,29,5,1,0,23.855231,90.248727,savar,dhaka,dhaka,30.2,27.9,25.6,308,42.3,90.0,7.0,96.0,39.0,2,21026,48656,40783,89439,119.0,4.3,39294,58.7,25,4,6,2,13,33,12,7,murder
6,22,6,1,4,23.761153,90.412352,rampura,dhaka,dhaka,34.7,30.0,25.2,356,15.8,79.0,9.0,72.0,43.0,2,7888,18453,15308,33761,121.0,4.3,20234,76.3,10,2,4,1,8,16,5,3,assault
8,31,2,0,1,23.809275,90.452403,badda,dhaka,dhaka,31.8,27.6,23.5,386,17.1,91.0,5.0,84.0,41.0,2,12131,30398,26030,56428,117.0,4.7,20315,63.6,20,2,0,1,6,27,12,3,bodyfound
8,32,5,1,1,23.918114,90.212777,dhamrai,dhaka,dhaka,32.9,28.3,23.7,353,12.0,73.0,8.0,46.0,40.0,2,9412,22729,19478,42207,117.0,4.5,22409,69.7,27,4,0,4,10,26,9,3,assault
4,14,5,1,2,23.738011,90.407902,bangshal,dhaka,dhaka,37.1,32.7,28.3,176,3.8,84.0,7.0,79.0,45.0,1,20397,49684,42336,92020,117.0,4.5,46869,65.5,33,12,3,1,16,37,20,5,assault
11,44,4,0,0,23.907315,90.309934,ashulia,dhaka,dhaka,26.9,24.2,21.5,353,14.3,86.0,8.0,70.0,36.0,2,21792,48649,41190,89839,118.0,4.1,37186,66.8,36,11,11,1,14,29,17,6,kidnap
5,22,4,0,0,23.726301,90.515673,demra,dhaka,dhaka,36.7,31.9,27.0,116,0.6,62.0,9.0,16.0,43.0,1,28502,67031,55888,122919,120.0,4.3,41391,61.8,50,12,8,3,32,51,28,14,rape
6,26,6,1,4,23.917209,90.322104,ashulia,dhaka,dhaka,28.7,24.1,19.4,386,19.5,82.0,5.0,72.0,37.0,2,19340,47402,39738,87140,119.0,4.5,29561,64.5,30,9,4,2,20,50,14,7,murder
3,10,5,1,0,23.923096,90.322615,ashulia,dhaka,dhaka,35.0,30.2,25.4,308,27.0,90.0,7.0,86.0,44.0,1,9999,23252,19096,42348,122.0,4.2,23075,51.2,9,3,0,7,7,13,8,0,assault
8,32,6,1,4,23.851624,90.271118,savar,dhaka,dhaka,32.9,30.1,27.2,116,1.9,54.0,9.0,36.0,38.0,2,30041,73063,58678,131741,125.0,4.4,69450,77.7,66,17,10,5,50,83,39,25,robbery
3,13,4,0,0,23.720542,90.398782,chawkbazar,dhaka,dhaka,37.2,34.4,31.5,116,0.2,60.0,10.0,22.0,43.0,1,13374,31455,27014,58469,116.0,4.4,35026,73.8,38,7,4,4,14,27,8,7,rape
10,39,6,1,2,23.775278,90.322007,gabtoli,dhaka,dhaka,34.4,30.3,26.2,113,1.2,60.0,8.0,14.0,40.0,2,28101,60469,52507,112976,115.0,4.0,51667,83.9,83,30,16,8,49,80,42,24,robbery
1,4,2,0,0,23.748985,90.361921,hazaribagh,dhaka,dhaka,30.2,27.0,23.9,176,3.2,73.0,8.0,72.0,37.0,3,18493,44384,37913,82297,117.0,4.5,31175,62.4,29,6,4,2,15,36,16,5,kidnap
10,39,6,1,1,23.796305,90.403201,cantonment,dhaka,dhaka,36.4,31.8,27.2,143,0.4,57.0,10.0,39.0,42.0,2,8037,18765,15941,34706,118.0,4.3,21696,61.0,12,2,0,1,7,16,3,2,rape
